Name_of_meal,MealIngredients,Snack (all types),Breakfast,Lunch,Dinner,Carbs,Protein,Calories,Meal Name,Dairy Free,Gluten Free,Pescatarian,Vegan,Vegetarian,Paleo,Meal Name.1,Soy,Milk,Dairy,Wheat,Shellfish,Peanuts,Treenuts,Eggs,Fish,Nuts,Meal Name.2,Milk.1,Butter,Cheese,Yogurt,Ice Cream,Whey,Apples,Oranges,Bananas,Cherries,Dates,Watermelons,Bread,Cereal,Rice,Pasta,Wheat.1,Oats,Sweet Potatoes,Beets,Spinach,Broccoli,Cauliflower,Brussel sprout,Beef,Chicken,Fish.1,Eggs.1,Cheese.1,Beans,Fat
"tuna (4 oz), 1 cup of soy milk, 1/2 cup of peppers",,Yes,,,Yes,17,44,295,"tuna (4 oz), 1 cup of soy milk, 1/2 cup of peppers",1,0,0,1,1,1,"tuna (4 oz), 1 cup of soy milk, 1/2 cup of peppers",2,1,1,0,0,0,0,0,1,0,"Grilled Chicken (8 oz), 1 cup of beans, 1/2 cup of corn",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1.6
"tuna (4 oz), 2 slices of whole wheat bread, 1 cup of spinach",,Yes,,,Yes,27,37,290,"tuna (4 oz), 2 slices of whole wheat bread, 1 cup of spinach",0,3,0,1,1,2,"tuna (4 oz), 2 slices of whole wheat bread, 1 cup of spinach",0,0,0,3,0,0,0,0,1,0,"Pork tenderloin (8 oz), Orzo (2 oz), 1 cup of cabbage",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6
"grilled chicken (4 oz), 2 slices of whole wheat bread, 1 cup of cauliflower",,Yes,,,Yes,37,34,308,"grilled chicken (4 oz), 2 slices of whole wheat bread, 1 cup of cauliflower",0,3,1,1,1,2,"grilled chicken (4 oz), 2 slices of whole wheat bread, 1 cup of cauliflower",0,0,0,3,0,0,0,0,0,0,"2 cups of tofu, 1 tortilla, asparagus (~10 stalks)",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7
"grilled chicken (4 oz), 2 slices of whole wheat bread, 1 cup of broccoli",,Yes,,,Yes,38,34,313,"grilled chicken (4 oz), 2 slices of whole wheat bread, 1 cup of broccoli",0,3,1,1,1,2,"grilled chicken (4 oz), 2 slices of whole wheat bread, 1 cup of broccoli",0,0,0,3,0,0,0,0,0,0,"Salmon (8 oz), Orzo (2 oz), 1 cup of cabbage",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.7
"3 eggs, 2 slices of whole wheat bread, 1/2 cup of sweet potatoes",,Yes,,,Yes,43,23,434,"3 eggs, 2 slices of whole wheat bread, 1/2 cup of sweet potatoes",0,3,0,1,0,2,"3 eggs, 2 slices of whole wheat bread, 1/2 cup of sweet potatoes",0,0,0,3,0,0,0,1,0,0,"grilled chicken (4 oz), 2 cups of white rice, 1 cup of cabbage",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.2
"grilled chicken (4 oz), 1 tortilla, 1/2 cup of peppers",,Yes,,,Yes,33,31,302,"grilled chicken (4 oz), 1 tortilla, 1/2 cup of peppers",0,0,1,1,1,0,"grilled chicken (4 oz), 1 tortilla, 1/2 cup of peppers",0,0,0,0,0,0,0,0,0,0,"Grilled shrimp (~10 shrimp), 2 cups of white rice, 1 cup of cauliflower",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.1
"3 eggs, 1 tortilla, 1/2 cup of peppers",,Yes,,,Yes,35,23,401,"3 eggs, 1 tortilla, 1/2 cup of peppers",0,0,0,1,0,0,"3 eggs, 1 tortilla, 1/2 cup of peppers",0,0,0,0,0,0,0,1,0,0,"Salmon (8 oz), 1 cup of white rice, 1 cup of cabbage",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.7
"Salmon (4 oz), Orzo (2 oz), 1/2 cup of peas",,Yes,,,Yes,56,36,433,"Salmon (4 oz), Orzo (2 oz), 1/2 cup of peas",0,0,0,1,2,0,"Salmon (4 oz), Orzo (2 oz), 1/2 cup of peas",0,0,0,0,0,0,0,0,1,0,"grilled chicken (4 oz), 2 cups of brown rice, 1/2 cup of peppers",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.2
"1 cup of plain Greek yogurt with 2 apricots, 2 cups of chocolate milk",,Yes,Yes,,,101,41,708,"1 cup of plain Greek yogurt with 2 apricots, 2 cups of chocolate milk",4,0,0,1,0,2,"1 cup of plain Greek yogurt with 2 apricots, 2 cups of chocolate milk",0,3,4,0,0,0,0,0,0,0,"Pork tenderloin (8 oz), Orzo (2 oz), 1 cup of cauliflower",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.9
"1 cup of 1% milk, 1 whole wheat english muffin with 3 tbsp of creamy peanut butter",,Yes,Yes,,,48,24,492,"1 cup of 1% milk, 1 whole wheat english muffin with 3 tbsp of creamy peanut butter",3,2,0,3,0,5,"1 cup of 1% milk, 1 whole wheat english muffin with 3 tbsp of creamy peanut butter",0,3,3,2,0,1,0,0,0,1,"tuna (4 oz), 2 cups of white rice, 1/2 cup of peppers",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21.9
"1 apple with peanut butter (2 tsp), 1 cup of plain nonfat Greek yogurt",,Yes,Yes,,,37,28,304,"1 apple with peanut butter (2 tsp), 1 cup of plain nonfat Greek yogurt",3,0,0,3,0,3,"1 apple with peanut butter (2 tsp), 1 cup of plain nonfat Greek yogurt",0,2,3,0,0,1,0,0,0,1,"Ground beef (4 oz), 2 slices of whole wheat bread, brussels sprouts (~12 sprouts)",0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,13.5
"1 cup of plain Greek yogurt, 1 KIND Protein Bar - Crunchy Peanut Butter (or a similar bar)",,Yes,Yes,,,25,24,330,"1 cup of plain Greek yogurt, 1 KIND Protein Bar - Crunchy Peanut Butter (or a similar bar)",3,0,0,3,0,3,"1 cup of plain Greek yogurt, 1 KIND Protein Bar - Crunchy Peanut Butter (or a similar bar)",0,2,3,0,0,1,0,0,0,1,"Pork tenderloin (8 oz), Orzo (2 oz), 1 cup of broccoli",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14.7
"1 cup of nonfat yogurt, 1 cup of chocolate milk",,Yes,Yes,,,45,22,346,"1 cup of nonfat yogurt, 1 cup of chocolate milk",3,0,0,1,0,2,"1 cup of nonfat yogurt, 1 cup of chocolate milk",0,2,3,0,0,0,0,0,0,0,"Pork tenderloin (8 oz), 1 cup of beans, 1 cup of cucumber",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.7
"1 Nature Valley Granola Bar - Peanut Butter (2 bars, 1 packet), 1 cup of chocolate milk (2%)",,Yes,Yes,,,54,12,380,"1 Nature Valley Granola Bar - Peanut Butter (2 bars, 1 packet), 1 cup of chocolate milk (2%)",3,0,0,2,0,3,"1 Nature Valley Granola Bar - Peanut Butter (2 bars, 1 packet), 1 cup of chocolate milk (2%)",0,3,3,0,0,1,1,0,0,2,"2 cups of tofu, 2 slices of whole wheat bread, 1/2 cup of corn",0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9
"1 cup of plain Greek yogurt with 10 raspberries and honey, 1 peanut butter granola bar",,Yes,Yes,,,29,16,387,"1 cup of plain Greek yogurt with 10 raspberries and honey, 1 peanut butter granola bar",3,0,0,4,0,3,"1 cup of plain Greek yogurt with 10 raspberries and honey, 1 peanut butter granola bar",0,2,3,0,0,1,1,0,0,2,"grilled chicken (4 oz), 2 cups of pasta, 1/2 cup of peppers",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,17.2
"1 tbsp of almond butter (one spoonful), 1 cup of plain Greek yogurt and 1 tsp of honey",,Yes,Yes,,,51,22,391,"1 tbsp of almond butter (one spoonful), 1 cup of plain Greek yogurt and 1 tsp of honey",3,0,0,4,0,2,"1 tbsp of almond butter (one spoonful), 1 cup of plain Greek yogurt and 1 tsp of honey",0,2,3,0,0,0,1,0,0,1,"Grilled shrimp (~10 shrimp), 2 cups of white rice, 1 cup of eggplant",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17.4
"Peanut Butter and Yogurt Smoothie (2 tbsp of peanut butter, 1/2 cup of yogurt, 1 1/2 cup of milk)",,Yes,Yes,,,32,24,410,"Peanut Butter and Yogurt Smoothie (2 tbsp of peanut butter, 1/2 cup of yogurt, 1 1/2 cup of milk)",3,0,0,3,0,4,"Peanut Butter and Yogurt Smoothie (2 tbsp of peanut butter, 1/2 cup of yogurt, 1 1/2 cup of milk)",0,2,3,0,0,1,0,0,0,1,"Grilled Chicken (8 oz), 1 cup of white rice, Snap 2 cups of peas",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18.2
"Peanut Butter Banana Oatmeal (1/2 cup of plain oatmeal, 1 tbsp of peanut butter, 1/2 of a banana, 1/6 cup of milk), 1 cup of nonfat yogurt",,Yes,Yes,,,66,25,447,"Peanut Butter Banana Oatmeal (1/2 cup of plain oatmeal, 1 tbsp of peanut butter, 1/2 of a banana, 1/6 cup of milk), 1 cup of nonfat yogurt",3,0,0,3,0,4,"Peanut Butter Banana Oatmeal (1/2 cup of plain oatmeal, 1 tbsp of peanut butter, 1/2 of a banana, 1/6 cup of milk), 1 cup of nonfat yogurt",0,2,3,0,0,1,0,0,0,1,"Grilled shrimp (~10 shrimp), 2 cups of white rice, 2 cups of green beans",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19.9
"1 cup of plain yogurt, 1 banana with 3 tbsp of creamy peanut butter",,Yes,Yes,,,50,19,524,"1 cup of plain yogurt, 1 banana with 3 tbsp of creamy peanut butter",3,0,0,4,0,4,"1 cup of plain yogurt, 1 banana with 3 tbsp of creamy peanut butter",0,2,3,0,0,1,0,0,0,1,"Salmon (8 oz), Orzo (2 oz), 1 cup of broccoli",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,23.3
"1 cup of plain yogurt, 1 english muffin with 3 tbsp of creamy peanut butter",,Yes,Yes,,,49,22,553,"1 cup of plain yogurt, 1 english muffin with 3 tbsp of creamy peanut butter",3,0,0,4,0,4,"1 cup of plain yogurt, 1 english muffin with 3 tbsp of creamy peanut butter",0,2,3,0,0,1,0,0,0,1,"Salmon (8 oz), 1 cup of beans, 1/2 cup of peppers",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,24.6
"1 Peanut Butter and Yogurt Shake (2 tbsp of peanut butter, 1/2 cup of plain yogurt, 1 1/2 cups of milk, ice), 1 banana",,Yes,Yes,,,62,25,630,"1 Peanut Butter and Yogurt Shake (2 tbsp of peanut butter, 1/2 cup of plain yogurt, 1 1/2 cups of milk, ice), 1 banana",3,0,0,4,0,4,"1 Peanut Butter and Yogurt Shake (2 tbsp of peanut butter, 1/2 cup of plain yogurt, 1 1/2 cups of milk, ice), 1 banana",0,2,3,0,0,1,0,0,1,1,"Salmon (8 oz), 1 cup of white rice, 1 cup of broccoli",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,28.0
"Peanut Butter-Yogurt Smoothie (1 1/2 cups of 1% milk, 1 cup of yogurt, 4 tbsp of peanut butter)",,Yes,Yes,,,46,36,660,"Peanut Butter-Yogurt Smoothie (1 1/2 cups of 1% milk, 1 cup of yogurt, 4 tbsp of peanut butter)",3,0,0,3,0,4,"Peanut Butter-Yogurt Smoothie (1 1/2 cups of 1% milk, 1 cup of yogurt, 4 tbsp of peanut butter)",0,2,3,0,0,1,0,0,0,1,"Grilled Chicken (8 oz), 1 cup of white rice, 2 cups of corn",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,29.3
1 whole wheat english muffin with 3 tbsp of creamy peanut butter,,Yes,Yes,,,36,16,390,1 whole wheat english muffin with 3 tbsp of creamy peanut butter,2,2,0,3,0,4,1 whole wheat english muffin with 3 tbsp of creamy peanut butter,0,2,2,2,0,1,0,0,0,1,"grilled chicken (4 oz), 1 cup of white rice, 2 cups of peas",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17.3
"1 banana, 1 scoop of chocolate protein powder (Muscle Milk or a similar brand)",,Yes,Yes,,,30,28,235,"1 banana, 1 scoop of chocolate protein powder (Muscle Milk or a similar brand)",2,1,0,0,0,1,"1 banana, 1 scoop of chocolate protein powder (Muscle Milk or a similar brand)",0,2,2,1,0,0,0,0,0,0,"grilled chicken (4 oz), 2 cups of white rice, 1 cup of eggplant",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.3
"1 banana, 1 english muffin with 3 tbsp of creamy peanut butter",,Yes,Yes,,,65,14,509,"1 banana, 1 english muffin with 3 tbsp of creamy peanut butter",2,0,0,3,0,3,"1 banana, 1 english muffin with 3 tbsp of creamy peanut butter",0,2,2,0,0,1,0,0,0,1,"grilled chicken (4 oz), 2 cups of white rice, 1/2 cup of peas",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22.6
"1 1/2 cups of plain Greek yogurt, 1/3 cup of dried fruit",,Yes,Yes,,,42,19,240,"1 1/2 cups of plain Greek yogurt, 1/3 cup of dried fruit",2,0,0,1,0,1,"1 1/2 cups of plain Greek yogurt, 1/3 cup of dried fruit",0,1,2,0,0,0,0,0,0,0,"Salmon (8 oz), Orzo (2 oz), 2 cups of green beans",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.3
"1 cup of plain nonfat Greek yogurt, 1 cup of applesauce (unsweetened)",,Yes,Yes,,,38,23,243,"1 cup of plain nonfat Greek yogurt, 1 cup of applesauce (unsweetened)",2,0,0,1,0,1,"1 cup of plain nonfat Greek yogurt, 1 cup of applesauce (unsweetened)",0,1,2,0,0,0,0,0,0,0,"grilled chicken (4 oz), 2 cups of white rice, 1/2 cup of squash",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.4
"1 cup of chocolate milk (2%), 2 plain rice cakes",,Yes,Yes,,,41,10,260,"1 cup of chocolate milk (2%), 2 plain rice cakes",2,0,0,0,0,2,"1 cup of chocolate milk (2%), 2 plain rice cakes",0,2,2,0,0,0,0,0,0,0,"White Fish (8 oz), 1 cup of white rice, 1 cup of spinach",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.4
